state,year,total,D,R,R_pv2p,D_pv2p
Montana,1968,274404,114117,138835,54.88590721,45.11409279
Nebraska,1968,536851,170784,321163,65.28406515,34.71593485
Nevada,1968,154218,60598,73188,54.70527559,45.29472441
New Hampshire,1968,297298,130589,154903,54.25826293,45.74173707
New Jersey,1968,2875395,1264206,1325467,51.18279412,48.81720588
New Mexico,1968,327350,130081,169692,56.6068325,43.3931675
New York,1968,6791688,3378470,3007932,47.09900817,52.90099183
North Carolina,1968,1587493,464113,627192,57.47174255,42.52825745
North Dakota,1968,247882,94769,138669,59.40292497,40.59707503
Ohio,1968,3959698,1700586,1791014,51.29493642,48.70506358
Oklahoma,1968,943086,301658,449697,59.85146835,40.14853165
Oregon,1968,819622,358866,408433,53.22996641,46.77003359
Pennsylvania,1968,4747928,2259405,2090017,48.05275276,51.94724724
Rhode Island,1968,385000,246518,122359,33.17067749,66.82932251
South Carolina,1968,666978,197486,254062,56.26467175,43.73532825
South Dakota,1968,281264,118023,149841,55.93920796,44.06079204
Tennessee,1968,1248617,351233,472592,57.36558128,42.63441872
Texas,1968,3079216,1266804,1227844,49.21912831,50.78087169
Utah,1968,422568,156665,238728,60.37739667,39.62260333
Vermont,1968,161404,70255,85142,54.78998951,45.21001049
Virginia,1968,1361491,442387,590319,57.16234824,42.83765176
Washington,1968,1304281,616037,588510,48.85737128,51.14262872
West Virginia,1968,754206,374091,307555,45.11946083,54.88053917
Wisconsin,1968,1691538,748804,809997,51.96282271,48.03717729
Wyoming,1968,127205,45173,70927,61.0913006,38.9086994
Alabama,1972,1006111,256923,728701,73.93296024,26.06703976
Alaska,1972,95219,32967,55349,62.6715431,37.3284569
Arizona,1972,622926,198540,402812,66.98439516,33.01560484
Arkansas,1972,651320,199892,448541,69.173068,30.826932
California,1972,8367862,3475847,4602096,56.97113733,43.02886267
Colorado,1972,953884,329980,597189,64.40994037,35.59005963
Connecticut,1972,1384277,555498,810763,59.34173632,40.65826368
Delaware,1972,235516,92283,140357,60.33227304,39.66772696
District of Columbia,1972,163421,127627,35226,21.63055025,78.36944975
Florida,1972,2583283,718117,1857759,72.12144529,27.87855471
Georgia,1972,1174772,289529,881496,75.2755919,24.7244081
Hawaii,1972,270274,101409,168865,62.47918779,37.52081221
Idaho,1972,310379,80826,199384,71.15520502,28.84479498
Illinois,1972,4723236,1913472,2788179,59.302126,40.697874
Indiana,1972,2125529,708568,1405154,66.47771088,33.52228912
Iowa,1972,1225944,496206,706207,58.7324821,41.2675179
Kansas,1972,916095,270287,619812,69.63405194,30.36594806
Kentucky,1972,1067499,371159,676446,64.57071129,35.42928871
Louisiana,1972,1051491,298142,686852,69.73159227,30.26840773
Maine,1972,417042,160584,256458,61.49452573,38.50547427
Maryland,1972,1353812,505781,829305,62.11622322,37.88377678
Massachusetts,1972,2458756,1332540,1112078,45.49087015,54.50912985
Michigan,1972,3489727,1459435,1961721,57.34088127,42.65911873
Minnesota,1972,1741652,802346,898269,52.82024444,47.17975556
Mississippi,1972,645963,126782,505125,79.9366046,20.0633954
Missouri,1972,1855803,697147,1153852,62.33671655,37.66328345
Montana,1972,317603,120197,183976,60.48400088,39.51599912
Nebraska,1972,576289,169991,406298,70.50247359,29.49752641
Nevada,1972,181766,66016,115750,63.68077638,36.31922362
New Hampshire,1972,334055,116435,213724,64.73365863,35.26634137
New Jersey,1972,2997229,1102211,1845502,62.60792689,37.39207311
New Mexico,1972,386241,141084,235606,62.54639093,37.45360907
New York,1972,7165919,2951084,4192778,58.6906354,41.3093646
North Carolina,1972,1518612,438705,1054889,70.6275601,29.3724399
North Dakota,1972,280514,100384,174109,63.42930421,36.57069579
Ohio,1972,4094787,1558889,2441827,61.03474978,38.96525022
Oklahoma,1972,1029900,247147,759025,75.43690343,24.56309657
Oregon,1972,927946,392760,486686,55.34006636,44.65993364
Pennsylvania,1972,4592106,1796951,2714521,60.16929729,39.83070271
Rhode Island,1972,415808,194645,220383,53.10075465,46.89924535
South Carolina,1972,673960,186824,477044,71.85826098,28.14173902
South Dakota,1972,307415,139945,166476,54.32917457,45.67082543
Tennessee,1972,1201182,357293,813147,69.47361676,30.52638324
Texas,1972,3471281,1154289,2298896,66.57320705,33.42679295
Utah,1972,478476,126284,323643,71.93233569,28.06766431
Vermont,1972,186947,68174,117149,63.21341658,36.78658342
Virginia,1972,1457019,438887,988493,69.25226639,30.74773361
Washington,1972,1470847,568334,837135,59.56267979,40.43732021
West Virginia,1972,762399,277435,484964,63.61026182,36.38973818
Wisconsin,1972,1852890,810174,989430,54.98042903,45.01957097
Wyoming,1972,145570,44358,100464,69.37067573,30.62932427
